,vehicle_id,start_time,stop_time
3372,474975,72078,86283
3373,556162,10,12615
3374,556162,46550,58313
3375,556162,61529,86395
3376,117645,138,11253
3377,117645,72370,86371
3378,82195,43138,58428
3379,82195,61752,83166
3380,251469,33,10783
3381,251469,67696,86379
3382,379913,40490,54195
3383,592170,409,11631
3384,592170,43745,57819
3385,592170,61528,61528
3386,592170,63226,64112
3387,592170,65881,66479
3388,592170,69746,86207
3389,543236,38272,38272
3390,543236,39636,58320
3391,543236,61584,83354
3392,183352,67,3241
3393,183352,42725,58442
3394,183352,61888,86394
3395,589531,43039,54870
3396,589531,56227,58136
3397,589531,62393,82522
3398,559652,4,3270
3399,559652,4666,4666
3400,559652,33809,58089
3401,559652,61536,86395
3402,450067,23857,57401
3403,531164,26,2225
3404,531164,44052,54052
3405,531164,62939,86381
3406,613877,114,16351
3407,613877,68949,69703
3408,613877,71464,86384
3409,367307,41115,57910
3410,367307,61628,82846
3411,193825,40907,48993
3412,193825,68074,83304
3413,637514,23870,58407
3414,637514,61535,76576
3415,178575,28886,28886
3416,178575,34252,58381
3417,178575,62627,66149
3418,178575,68213,68214
3419,178575,70099,70113
3420,178575,71666,83259
3421,293327,65,4843
3422,293327,39884,58089
3423,293327,61522,86385
3424,579565,11,3328
3425,579565,31151,31151
3426,579565,32818,37020
3427,579565,38454,58363
3428,579565,61863,63373
3429,579565,72283,86396
3430,186177,61539,64485
3431,186177,68001,86385
3432,188390,38646,58477
3433,188390,61530,62487
3434,188390,64848,86398
3435,477979,27208,27208
3436,477979,43391,51992
3437,477979,67184,84016
3438,396987,41931,42384
3439,396987,43657,58491
3440,396987,61567,64437
3441,396987,65872,80306
3442,396987,81626,86391
3443,461718,68263,69992
3444,461718,71857,82647
3445,461718,85045,86288
3446,588841,72893,83404
3447,392045,24834,24839
3448,392045,71625,71854
3449,392045,73130,73531
3450,392045,75448,83031
3451,482631,42856,47847
3452,482631,55921,58427
3453,482631,61525,83452
3454,620664,64607,79601
3455,253896,26053,58269
3456,490172,41709,52898
3457,490172,67034,84395
3458,453331,43314,45331
3459,453331,54012,57546
3460,453331,72730,77297
3461,211983,42669,56565
3462,211983,68220,82965
3463,458084,25427,28146
3464,458084,43584,57138
3465,458084,61542,65091
3466,458084,66335,66363
3467,458084,67617,68198
3468,458084,70067,83166
3469,209061,67830,83603
3470,585946,68791,83228
3471,529005,68230,82888
3472,151828,39718,57454
3473,151828,61642,63696
3474,151828,65022,68327
3475,151828,69885,82958
3476,531148,68102,85909
3477,610237,42528,58232
3478,610237,61672,67260
3479,629321,67272,67692
3480,629321,69531,83441
3481,635765,21,12268
3482,635765,58415,58415
3483,635765,69009,69771
3484,635765,71888,71888
3485,635765,73624,80439
3486,370741,42907,57994
3487,370741,61820,63476
3488,370741,65800,67829
3489,370741,69129,83297
3490,207060,67471,76465
3491,577519,67832,71197
3492,577519,72779,84633
3493,537380,26,11392
3494,537380,67075,86327
3495,562855,42598,56333
3496,562855,68257,83000
3497,632869,42218,54671
3498,632869,67720,82965
3499,620434,28031,28031
3500,620434,41563,49766
3501,620434,67635,69274
3502,620434,71074,82733
3503,354923,68176,70337
3504,354923,72077,85168
3505,369824,43069,57922
3506,369824,61718,65791
3507,369824,67055,79047
3508,369824,80308,82716
3509,636344,23,748
3510,636344,48235,53495
3511,636344,56882,58378
3512,636344,61513,70227
3513,636344,77484,86396
3514,368382,69301,85583
3515,257465,35710,58269
3516,257465,62174,62174
3517,257465,63529,86158
3518,637576,41803,56936
3519,637576,68208,69709
3520,637576,71070,86316
3521,485330,41274,41274
3522,485330,42671,52693
3523,485330,54092,58477
3524,485330,62095,83077
3525,628930,30,10988
3526,628930,66093,86392
3527,636563,26873,44403
3528,636563,46512,46512
3529,636563,48572,50822
3530,636563,55574,58484
3531,636563,77684,77684
3532,397128,68274,83580
3533,538906,23487,58474
3534,538906,61530,62621
3535,538906,71136,85146
3536,253889,41007,57929
3537,253889,61647,83131
3538,155479,68452,83420
3539,369987,45651,45651
3540,369987,67734,69701
3541,369987,71815,83272
3542,510240,25,1863
3543,510240,68426,82951
3544,620298,40143,58464
3545,620298,61518,83595
3546,610159,3,1677
3547,610159,36926,36926
3548,610159,67267,83552
3549,234698,24761,57996
3550,501660,39793,58112
3551,501660,61547,70531
3552,501660,71813,82898
3553,356869,40804,58221
3554,356869,62900,84148
3555,495023,43036,49767
3556,495023,51319,58182
3557,495023,61766,64822
3558,495023,66064,83330
3559,375732,41845,58447
3560,375732,61956,83083
3561,511282,67746,69673
3562,511282,72990,81599
3563,511282,83133,83133
3564,599286,69124,70224
3565,599286,71951,72140
3566,599286,73523,84031
3567,587025,4,4481
3568,587025,5841,5841
3569,587025,45483,58471
3570,587025,62113,68954
3571,587025,74659,86393
3572,399047,67277,82868
3573,459881,68244,68244
3574,459881,69552,82676
3575,459986,40613,40780
3576,459986,42759,54034
3577,479594,42709,58443
3578,479594,61510,68949
3579,479594,70564,83519
3580,295710,9,11302
3581,295710,45949,58454
3582,295710,61946,62941
3583,295710,64159,86395
3584,561206,55481,55481
3585,561206,69847,86396
3586,238052,43059,43059
3587,238052,44907,44907
3588,238052,48254,48254
3589,238052,50019,50019
3590,238052,51238,57949
3591,238052,61509,66669
3592,238052,80125,86319
3593,615059,45251,45251
3594,615059,68338,82923
3595,112074,24511,58273
3596,112074,61544,70557
3597,605638,41724,49821
3598,605638,66991,69651
3599,605638,71465,84460
3600,118038,40938,40938
3601,118038,43613,58367
3602,118038,61525,84803
3603,87608,50,6990
3604,87608,39864,58412
3605,87608,61522,86256
3606,313238,192,3972
3607,313238,5323,6915
3608,313238,8217,11278
3609,313238,32847,32847
3610,519867,68088,84478
3611,238645,26449,29636
3612,238645,31121,56938
3613,592296,66916,83804
3614,607268,67282,70503
3615,607268,71808,83256
3616,508887,20953,20971
3617,508887,42593,55181
3618,625124,43666,56862
3619,625124,61768,83577
3620,569011,40470,58404
3621,569011,63723,81283
3622,620697,36814,36814
3623,620697,68089,70058
3624,620697,71534,71900
3625,620697,73407,83189
3626,343186,40177,51164
3627,343186,67153,83616
3628,623950,35671,58180
3629,623950,61888,62372
3630,623950,66476,83111
3631,530755,67279,84020
3632,378964,68726,82790
3633,573723,68517,86374
3634,227945,6,2163
3635,227945,41939,58056
3636,227945,61533,86324
3637,586125,286,11032
3638,586125,44653,58386
3639,586125,61737,86385
3640,613243,30,11350
3641,613243,65744,86386
3642,378171,41217,41217
3643,378171,66994,67165
3644,378171,68612,83384
3645,380620,68286,80161
3646,497251,39809,57707
3647,497251,68455,86387
3648,571052,68401,82954
